sample;metabarcoding_RS;real_RS;nbr_FNI-fail;nbr_FNI-threshold
CMEY01525;10;5;0;0
CMEY01526;7;5;0;1
CMEY01527;9;7;2;0
CMEY01528;9;7;1;0
CMEY01529;6;2;0;0
CMEY01530;7;7;1;0
CMEY01531;8;8;0;0
CMEY01532;13;10;2;0
CMEY01533;14;4;0;0
CMEY01534;15;10;3;1
CMEY01535;12;12;1;0
CMEY01536;14;14;2;1
CMEY01537;5;5;0;1
CMEY01538;9;14;4;2
CMEY01539;14;17;4;0
CMEY01540;16;8;0;0
CMEY01541;11;3;0;0
CMEY01542;3;4;1;0
CMEY01543;10;5;0;1
CMEY01544;10;10;1;1
CMEY01545;10;16;5;2
CMEY01546;8;7;0;0
CMEY01547;14;8;0;1
CMEY01548;8;9;4;1
CMEY01549;10;9;0;1
CMEY01550;11;10;2;0
CMEY01551;13;12;3;1
CMEY01552;15;12;1;0
CMEY01553;3;4;1;0
CMEY01554;10;15;5;1
CMEY01555;10;14;1;3
CMEY01556;6;18;13;0
CMEY01557;13;18;6;3
CMEY01558;16;19;5;0
CMEY01559;14;19;4;3
CMEY01560;13;13;3;2
CMEY01561;9;10;1;1
CMEY01562;10;13;2;2
CMEY01563;11;10;1;1
CMEY01564;8;10;3;1
CMEY01565;8;9;0;1
CMEY01566;13;14;3;1
CMEY01567;13;15;4;0
CMEY01568;14;17;4;2
CMEY01569;9;6;1;0
CMEY01570;10;14;4;1
CMEY01571;6;6;2;0
CMEY01572;11;12;3;1
CMEY01573;6;15;8;1
CMEY01574;5;7;0;2
CMEY01575;8;8;1;1
CMEY01576;7;17;8;2
CMEY01577;4;7;1;2
CMEY01578;11;14;2;2
CMEY01579;2;4;0;2
CMEY01580;4;5;0;1
CMEY01581;14;11;1;2
CMEY01582;14;21;7;2
CMEY01583;13;15;1;3
CMEY01584;7;4;0;0
CMEY01585;19;18;4;1
CMEY01586;13;28;17;2
CMEY01587;3;3;0;0
CMEY01588;15;21;4;2
CMEY01589;6;5;0;0
CMEY01590;5;2;0;0
CMEY01591;12;9;1;0
CMEY01592;20;19;3;1
CMEY01593;12;9;0;1
CMEY01594;13;15;2;1
CMEY01595;12;10;1;0
CMEY01596;2;3;0;1
CMEY01597;16;18;4;2
CMEY01598;18;17;0;1
CMEY01599;7;4;0;0
CMEY01600;12;14;2;1
CMEY01601;16;21;8;3
CMEY01602;3;3;0;1
CMEY01603;12;10;2;0
CMEY01604;5;8;3;2
CMEY01605;4;1;0;0
CMEY01606;11;9;0;0
CMEY01607;11;9;1;1
CMEY01608;6;5;1;0
CMEY01609;8;7;0;0
CMEY01610;15;16;4;0
CMEY01611;10;10;1;1
CMEY01612;4;5;1;0
CMEY01613;18;16;3;1
CMEY01614;13;12;3;0
CMEY01615;4;2;1;0
CMEY01616;3;5;2;1
CMEY01617;10;5;0;0
CMEY01618;8;8;0;0
CMEY01619;14;13;0;0
CMEY01620;15;9;0;0
CMEY01621;12;9;2;0
CMEY01622;15;12;0;0
CMEY01623;5;6;0;1
CMEY01624;5;14;7;3
CMEY01625;5;6;0;3
CMEY01626;9;9;0;2
CMEY01627;14;17;4;1
CMEY01628;10;8;0;0
CMEY01629;20;12;0;0
CMEY01630;17;19;3;0
CMEY01631;17;19;4;0
CMEY01632;5;5;0;0
CMEY01633;13;16;3;2
CMEY01634;8;14;5;2
CMEY01635;5;8;2;1
CMEY01636;24;26;8;1
CMEY01637;17;24;7;1
CMEY01638;6;7;0;1
CMEY01639;18;24;6;2
CMEY01640;12;21;11;0
CMEY01641;16;16;2;2
CMEY01642;7;9;0;3
CMEY01643;13;13;1;2
CMEY01644;15;13;2;0
CMEY01645;18;12;0;0
CMEY01646;17;18;4;0
CMEY01647;10;15;4;1
CMEY01648;22;27;10;3
CMEY01649;14;15;3;2
CMEY01650;0;0;0;0
CMEY01651;31;32;4;1
CMEY01652;15;20;6;2
CMEY01653;11;9;1;1
CMEY01654;14;26;13;4
CMEY01655;23;30;10;1
CMEY01656;5;14;7;2
CMEY01657;18;17;4;1
CMEY01658;28;31;5;4
CMEY01659;18;23;6;3
CMEY01660;15;17;4;2
CMEY01661;14;19;8;1
CMEY01662;9;13;1;3
CMEY01663;10;13;2;2
CMEY01664;13;26;13;2
CMEY01665;7;8;0;3
CMEY01666;12;11;1;1
CMEY01667;14;15;2;1
CMEY01668;10;8;1;0
CMEY01669;11;11;2;1
CMEY01670;9;10;1;0
CMEY01671;5;7;2;0
CMEY01672;9;9;1;0
CMEY01673;5;7;1;1
CMEY01674;8;9;1;1
CMEY01675;8;11;2;2
CMEY01676;7;7;1;0
CMEY01677;11;8;1;0
CMEY01678;2;2;0;0
CMEY01679;5;5;0;0
CMEY01680;13;16;4;1
CMEY01681;3;3;0;0
CMEY01682;7;10;3;2
CMEY01683;8;11;1;2
CMEY01684;5;6;0;1
CMEY01685;5;5;0;0
CMEY01686;13;14;3;1
